iter	Passed	Remaining
227	13544	57744
228	13604	57686
229	13660	57612
230	13720	57555
231	13778	57490
232	13837	57427
233	13894	57360
234	13956	57311
235	14018	57263
236	14084	57229
237	14152	57205
238	14218	57171
239	14283	57132
240	14351	57106
241	14419	57083
242	14488	57059
243	14559	57045
244	14627	57018
245	14694	56987
246	14760	56951
247	14830	56929
248	14898	56902
249	14935	56756
250	15005	56733
251	15074	56707
252	15147	56696
253	15215	56667
254	15286	56649
255	15358	56634
256	15425	56600
257	15467	56475
258	15510	56351
259	15582	56338
260	15655	56324
261	15728	56311
262	15796	56277
263	15863	56244
264	15932	56213
265	16002	56188
266	16070	56158
267	16143	56140
268	16211	56106
269	16279	56073
270	16351	56054
271	16418	56015
272	16484	55973
273	16552	55939
274	16623	55915
275	16694	55889
276	16759	55843
277	16828	55811
278	16894	55769
279	16963	55736
280	17032	55705
281	17101	55670
282	17168	55630
283	17233	55584
284	17300	55542
285	17370	55512
286	17438	55476
287	17507	55439
288	17575	55403
289	17639	55351
290	17708	55316
291	17773	55269
292	17844	55238
293	17913	55202
294	17981	55163
295	18052	55132
296	18120	55093
297	18186	55048
298	18254	55006
299	18324	54973
300	18392	54933
301	18465	54908
302	18541	54890
303	18613	54860
304	18685	54832
305	18760	54808
306	18830	54774
307	18902	54742
308	18968	54696
309	19035	54648
310	19103	54607
311	19173	54569
312	19241	54528
313	19313	54494
314	19380	54449
315	19449	54409
316	19517	54366
317	19583	54315
318	19647	54260
319	19700	54177
320	19771	54141
321	19838	54094
322	19908	54054
323	19976	54011
324	20046	53972
325	20114	53927
326	20184	53886
327	20256	53851
328	20323	53805
329	20391	53758
330	20458	53712
331	20528	53669
332	20595	53623
333	20669	53593
334	20740	53555
335	20813	53519
336	20882	53477
337	20951	53431
338	21021	53389
339	21092	53350
340	21160	53305
341	21212	53216
342	21282	53174
343	21350	53128
344	21416	53074
345	21483	53024
346	21553	52982
347	21623	52941
348	21692	52893
349	21760	52845
350	21827	52797
351	21896	52750
352	21961	52694
353	22035	52660
354	22104	52614
355	22170	52562
356	22239	52513
357	22303	52456
358	22371	52407
359	22443	52368
360	22512	52320
361	22577	52265
362	22645	52216
363	22712	52164
364	22778	52110
365	22848	52065
366	22919	52022
367	22992	51983
368	23070	51954
369	23148	51927
370	23219	51883
371	23286	51832
372	23357	51787
373	23426	51738
374	23493	51685
375	23561	51635
376	23630	51586
377	23701	51540
378	23772	51496
379	23842	51450
380	23912	51402
381	23981	51353
382	24053	51310
383	24119	51253
384	24185	51198
385	24256	51152
386	24326	51104
387	24408	51081
388	24499	51076
389	24582	51056
390	24658	51019
391	24742	50999
392	24819	50965
393	24890	50917
394	24965	50878
395	25035	50829
396	25105	50779
397	25178	50735
398	25249	50689
399	25319	50639
400	25391	50593
401	25461	50542
402	25530	50490
403	25599	50438
404	25668	50386
405	25740	50340
406	25812	50292
407	25880	50237
408	25949	50185
409	26019	50134
410	26090	50085
411	26160	50034
412	26229	49981
413	26298	49929
414	26367	49876
415	26442	49834
416	26466	49696
417	26534	49640
418	26604	49589
419	26673	49536
420	26741	49481
421	26810	49427
422	26877	49371
423	26952	49327
424	27022	49276
425	27091	49223
426	27158	49165
427	27230	49115
428	27300	49065
429	27371	49014
430	27442	48963
431	27512	48910
432	27581	48857
433	27649	48800
434	27719	48747
435	27785	48688
436	27855	48635
437	27920	48574
438	27985	48512
439	28051	48453
440	28121	48400
441	28146	48269
442	28217	48218
443	28282	48157
444	28353	48105
445	28419	48045
446	28485	47986
447	28552	47927
448	28615	47862
449	28682	47803
450	28748	47744
451	28814	47683
452	28879	47623
453	28948	47567
454	29020	47516
455	29087	47458
456	29155	47401
457	29222	47342
458	29288	47282
459	29354	47222
460	29420	47161
461	29485	47100
462	29551	47040
463	29618	46981
464	29688	46926
465	29755	46868
466	29819	46804
467	29881	46737
468	29948	46679
469	30017	46622
470	30081	46559
471	30148	46500
472	30225	46456
473	30290	46394
474	30357	46335
475	30422	46272
476	30491	46216
477	30558	46157
478	30629	46103
479	30695	46043
480	30759	45980
481	30824	45917
482	30890	45856
483	30957	45797
484	31025	45739
485	31090	45676
486	31156	45615
487	31224	45557
488	31294	45501
489	31357	45435
490	31426	45379
491	31492	45318
492	31561	45260
493	31629	45202
494	31703	45153
495	31772	45096
496	31840	45038
497	31908	44980
498	31975	44919
499	32041	44857
500	32104	44792
501	32170	44730
502	32236	44670
503	32300	44605
504	32367	44545
505	32433	44483
506	32498	44420
507	32565	44360
508	32633	44301
509	32699	44240
510	32765	44179
511	32833	44120
512	32907	44069
513	32972	44006
514	33039	43945
515	33105	43884
516	33170	43821
517	33236	43759
518	33304	43699
519	33369	43636
520	33436	43577
521	33501	43512
522	33567	43452
523	33630	43385
524	33695	43322
525	33759	43258
526	33827	43199
527	33893	43136
528	33960	43076
529	34026	43015
530	34095	42956
531	34162	42895
532	34227	42832
533	34296	42774
534	34363	42714
535	34428	42650
536	34479	42569
537	34546	42509
538	34626	42464
539	34694	42404
540	34763	42346
541	34832	42286
542	34896	42222
543	34968	42167
544	35035	42107
545	35102	42046
546	35168	41983
547	35238	41926
548	35310	41870
549	35375	41807
550	35496	41810
551	35566	41752
552	35631	41688
553	35701	41630
554	35768	41568
555	35840	41512
556	35908	41453
557	35980	41396
558	36048	41336
559	36116	41275
560	36184	41215
561	36249	41152
562	36313	41086
563	36380	41024
564	36448	40964
565	36516	40903
566	36581	40839
567	36656	40786
568	36722	40723
569	36787	40659
570	36854	40597
571	36925	40540
572	36995	40482
573	37065	40423
574	37137	40367
575	37207	40308
576	37279	40251
577	37353	40197
578	37423	40137
579	37490	40075
580	37557	40013
581	37627	39954
582	37699	39898
583	37768	39837
584	37837	39778
585	37905	39716
586	37977	39659
587	38051	39604
588	38122	39545
589	38195	39490
590	38266	39432
591	38336	39372
592	38407	39314
593	38476	39253
594	38545	39192
595	38615	39134
596	38684	39073
597	38753	39012
598	38818	38948
599	38886	38886
600	38957	38827
601	39027	38767
602	39096	38707
603	39161	38642
604	39229	38580
605	39328	38549
606	39405	38496
607	39474	38435
608	39542	38373
609	39612	38314
610	39680	38251
611	39749	38190
612	39819	38130
613	39895	38075
614	39967	38017
615	40043	37963
616	40116	37906
617	40192	37851
618	40271	37799
619	40344	37741
620	40416	37682
621	40484	37620
622	40554	37560
623	40619	37494
624	40685	37431
625	40753	37368
626	40820	37304
627	40888	37242
628	40961	37184
629	41031	37123
630	41103	37064
631	41173	37003
632	41244	36944
633	41270	36844
634	41339	36782
635	41404	36717
636	41472	36654
637	41541	36592
638	41608	36529
639	41679	36469
640	41747	36406
641	41812	36341
642	41880	36278
643	41946	36214
644	42016	36153
645	42087	36093
646	42158	36033
647	42225	35969
648	42296	35909
649	42363	35845
650	42437	35788
651	42508	35727
652	42533	35629
653	42603	35568
654	42673	35506
655	42742	35445
656	42815	35386
657	42885	35325
658	42954	35263
659	43023	35200
660	43088	35136
661	43156	35072
662	43229	35013
663	43302	34954
664	43370	34892
665	43439	34830
666	43511	34769
667	43579	34707
668	43650	34646
669	43721	34585
670	43792	34525
671	43858	34460
672	43926	34396
673	43996	34335
674	44067	34274
675	44136	34212
676	44203	34148
677	44270	34084
678	44346	34027
679	44420	33968
680	44490	33906
681	44563	33847
682	44634	33786
683	44705	33725
684	44778	33665
685	44849	33604
686	44924	33545
687	44993	33483
688	45060	33419
689	45130	33357
690	45202	33296
691	45269	33232
692	45334	33166
693	45400	33101
694	45473	33041
695	45542	32979
696	45611	32916
697	45681	32853
698	45749	32790
699	45820	32729
700	45888	32665
701	45959	32603
702	46028	32540
703	46098	32478
704	46167	32415
705	46238	32353
706	46306	32290
707	46373	32225
708	46444	32163
709	46512	32099
710	46585	32040
711	46654	31976
712	46718	31910
713	46788	31847
714	46858	31785
715	46926	31721
716	46997	31659
717	47065	31595
718	47137	31534
719	47205	31470
720	47273	31406
721	47342	31343
722	47413	31280
723	47482	31217
724	47549	31153
725	47618	31090
726	47691	31028
727	47758	30963
728	47828	30901
729	47897	30838
730	47967	30775
731	48036	30711
732	48109	30651
733	48175	30585
734	48245	30522
735	48314	30458
736	48386	30397
737	48457	30335
738	48525	30270
739	48597	30209
740	48673	30149
741	48745	30087
742	48824	30030
743	48902	29972
744	48979	29913
745	49052	29852
746	49132	29794
747	49210	29736
748	49288	29678
749	49359	29615
750	49431	29553
751	49501	29490
752	49569	29426
753	49636	29360
754	49705	29296
755	49773	29231
756	49797	29141
757	49867	29078
758	49938	29015
759	50007	28951
760	50077	28888
761	50147	28824
762	50216	28761
763	50284	28696
764	50351	28630
765	50417	28565
766	50486	28501
767	50557	28438
768	50626	28374
769	50696	28311
770	50761	28244
771	50828	28179
772	50897	28115
773	50964	28050
774	51030	27984
775	51099	27920
776	51172	27858
777	51245	27796
778	51325	27738
779	51396	27675
780	51471	27613
781	51546	27552
782	51620	27491
783	51699	27432
784	51781	27374
785	51855	27313
786	51932	27253
787	52006	27191
788	52079	27128
789	52152	27066
790	52227	27005
791	52299	26942
792	52369	26877
793	52437	26813
794	52506	26748
795	52576	26684
796	52647	26620
797	52715	26555
798	52782	26490
799	52852	26426
800	52921	26361
801	52996	26300
802	53075	26240
803	53150	26178
804	53228	26118
805	53301	26055
806	53377	25994
807	53450	25931
808	53522	25868
809	53596	25805
810	53663	25739
811	53736	25677
812	53811	25615
813	53882	25551
814	53950	25485
815	54020	25421
816	54092	25357
817	54162	25293
818	54234	25229
819	54305	25165
820	54378	25102
821	54449	25038
822	54520	24974
823	54591	24910
824	54662	24846
825	54731	24781
826	54798	24715
827	54868	24650
828	54939	24587
829	55013	24523
830	55084	24459
831	55155	24395
832	55226	24331
833	55296	24266
834	55364	24201
835	55438	24138
836	55509	24074
837	55580	24009
838	55648	23943
839	55718	23879
840	55788	23814
841	55858	23749
842	55929	23685
843	55997	23619
844	56066	23554
845	56139	23490
846	56210	23426
847	56281	23362
848	56349	23296
849	56421	23232
850	56488	23166
851	56559	23101
852	56630	23037
853	56697	22971
854	56764	22905
855	56834	22839
856	56906	22775
857	56977	22711
858	57051	22647
859	57118	22581
860	57187	22516
861	57263	22453
862	57335	22389
863	57410	22326
864	57488	22264
865	57573	22204
866	57644	22140
867	57715	22075
868	57785	22010
869	57859	21946
870	57934	21883
871	58006	21818
872	58076	21753
873	58148	21689
874	58223	21626
875	58294	21561
876	58367	21496
877	58437	21431
878	58507	21366
879	58580	21302
880	58655	21238
881	58724	21172
882	58796	21108
883	58868	21043
884	58940	20978
885	58993	20907
886	59065	20842
887	59141	20779
888	59209	20713
889	59265	20642
890	59336	20578
891	59409	20513
892	59479	20448
893	59552	20383
894	59628	20320
895	59701	20255
896	59773	20191
897	59844	20125
898	59915	20060
899	59988	19996
900	60060	19931
901	60132	19866
902	60205	19801
903	60274	19735
904	60344	19670
905	60415	19604
906	60489	19540
907	60560	19475
908	60633	19410
909	60702	19344
910	60773	19279
911	60856	19217
912	60927	19152
913	61000	19087
914	61070	19021
915	61139	18955
916	61210	18890
917	61279	18824
918	61349	18758
919	61419	18692
920	61491	18627
921	61564	18562
922	61640	18498
923	61718	18435
924	61796	18371
925	61876	18309
926	61949	18244
927	62023	18179
928	62094	18113
929	62168	18049
930	62243	17984
931	62315	17919
932	62388	17854
933	62464	17789
934	62533	17723
935	62608	17658
936	62683	17594
937	62757	17529
938	62832	17464
939	62908	17400
940	62978	17334
941	63053	17269
942	63126	17204
943	63197	17138
944	63274	17073
945	63347	17008
946	63419	16943
947	63546	16892
948	63636	16831
949	63713	16766
950	63787	16701
951	63861	16636
952	63935	16571
953	64010	16505
954	64084	16440
955	64157	16375
956	64235	16310
957	64313	16246
958	64386	16180
959	64467	16116
960	64545	16052
961	64628	15989
962	64713	15926
963	64790	15861
964	64869	15797
965	64946	15732
966	65025	15668
967	65100	15602
968	65171	15536
969	65243	15470
970	65318	15404
971	65393	15339
972	65467	15273
973	65542	15208
974	65617	15142
975	65696	15077
976	65771	15012
977	65849	14947
978	65930	14883
979	66008	14818
980	66087	14753
981	66166	14688
982	66245	14623
983	66323	14558
984	66403	14494
985	66478	14428
986	66557	14363
987	66630	14297
988	66704	14231
989	66779	14165
990	66851	14098
991	66932	14034
992	67009	13968
993	67088	13903
994	67166	13838
995	67244	13772
996	67324	13707
997	67402	13642
998	67479	13576
999	67555	13511
1000	67630	13444
1001	67706	13379
1002	67783	13313
1003	67854	13246
1004	67929	13180
1005	68003	13114
1006	68078	13047
1007	68156	12982
1008	68232	12916
1009	68281	12844
1010	68356	12778
1011	68429	12712
1012	68506	12646
1013	68583	12580
1014	68659	12514
1015	68731	12447
1016	68808	12381
1017	68889	12316
1018	68961	12249
1019	69036	12182
1020	69110	12116
1021	69186	12050
1022	69258	11983
1023	69335	11917
1024	69410	11850
1025	69492	11785
1026	69569	11719
1027	69656	11654
1028	69731	11588
1029	69813	11522
1030	69888	11456
1031	69965	11389
1032	70041	11323
1033	70117	11256
1034	70194	11190
1035	70276	11124
1036	70357	11059
1037	70446	10994
1038	70525	10928
1039	70601	10861
1040	70684	10796
1041	70762	10729
1042	70841	10663
1043	70922	10597
1044	70998	10530
1045	71078	10464
1046	71159	10398
1047	71238	10332
1048	71315	10265
1049	71394	10199
1050	71470	10132
1051	71547	10065
1052	71626	9999
1053	71707	9932
1054	71785	9866
1055	71863	9799
1056	71944	9733
1057	72024	9666
1058	72104	9600
1059	72185	9533
1060	72267	9467
1061	72341	9400
1062	72416	9333
1063	72492	9265
1064	72569	9198
1065	72646	9131
1066	72729	9065
1067	72804	8998
1068	72883	8931
1069	72971	8865
1070	73058	8799
1071	73137	8732
1072	73222	8666
1073	73308	8600
1074	73391	8533
1075	73480	8468
1076	73563	8401
1077	73644	8334
1078	73724	8267
1079	73805	8200
1080	73855	8130
1081	73941	8063
1082	74021	7996
1083	74103	7929
1084	74184	7862
1085	74262	7795
1086	74342	7728
1087	74420	7660
1088	74504	7594
1089	74588	7527
1090	74678	7461
1091	74777	7395
1092	74868	7329
1093	74961	7263
1094	75053	7196
1095	75139	7130
1096	75224	7062
1097	75312	6996
1098	75397	6929
1099	75478	6861
1100	75559	6794
1101	75641	6726
1102	75725	6659
1103	75805	6591
1104	75884	6523
1105	75968	6456
1106	76047	6388
1107	76129	6321
1108	76210	6253
1109	76290	6185
1110	76367	6117
1111	76447	6049
1112	76529	5982
1113	76608	5914
1114	76689	5846
1115	76764	5777
1116	76850	5710
1117	76934	5642
1118	77018	5575
1119	77097	5506
1120	77177	5438
1121	77258	5370
1122	77341	5303
1123	77426	5235
1124	77509	5167
1125	77587	5099
1126	77670	5031
1127	77752	4962
1128	77839	4895
1129	77918	4826
1130	78000	4758
1131	78080	4690
1132	78158	4621
1133	78232	4553
1134	78316	4485
1135	78393	4416
1136	78476	4348
1137	78560	4280
1138	78643	4211
1139	78723	4143
1140	78803	4074
1141	78882	4006
1142	78966	3937
1143	79052	3869
1144	79136	3801
1145	79228	3733
1146	79314	3664
1147	79403	3596
1148	79491	3528
1149	79575	3459
1150	79658	3391
1151	79745	3322
1152	79827	3254
1153	79916	3185
1154	79995	3116
1155	80080	3048
1156	80164	2979
1157	80243	2910
1158	80319	2841
1159	80401	2772
1160	80483	2703
1161	80564	2634
1162	80647	2565
1163	80734	2496
1164	80817	2427
1165	80898	2358
1166	80979	2289
1167	81061	2220
1168	81142	2151
1169	81226	2082
1170	81313	2013
1171	81394	1944
1172	81477	1875
1173	81563	1806
1174	81648	1737
1175	81728	1667
1176	81810	1598
1177	81897	1529
1178	81981	1460
1179	82067	1390
1180	82153	1321
1181	82234	1252
1182	82323	1183
1183	82404	1113
1184	82489	1044
1185	82575	974
1186	82655	905
1187	82740	835
1188	82823	766
1189	82902	696
1190	82989	627
1191	83073	557
1192	83160	487
1193	83248	418
1194	83330	348
1195	83417	278
1196	83500	209
1197	83581	139
1198	83666	69
1199	83759	0
